"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"T3KDQ7ZE","book","2014","Lupton, Deborah","Digital Sociology","","978-1-138-02276-8","","","http://gen.lib.rus.ec/book/index.php?md5=847c18ddca31ebb8bfb600cce3405975","","2014","2024-08-13 19:23:26","2024-08-13 19:23:26","2018-08-19 13:07:32","","","","","","","","","","","","Routledge","Londres & New York","","","","","","Library Genesis","","QID: Q96705951 Citation Key: Lupton2014Digital","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XWTNRTT8","book","2015","del Río Riande, Gimena; Cantamutto, Lucía; Striker, Gabriela","Las Humanidades Digitales desde Argentina: Tecnologías, culturas, saberes","","978-987-3617-89-8","","","https://libros.unlp.edu.ar/index.php/unlp/catalog/book/542","","2015","2024-08-13 19:23:21","2024-08-13 19:23:21","2019-10-14 20:58:54","","","","","","","","","","","","Editorial de la Facultad de Filosofía y Letras Universidad de Buenos Aires,","Buenos Aires","Español","","","","","","","Citation Key: delRioRiande.etal2015Humanidades","","","","#nosource","","","","","","","","","","","","","","","","","","","","","1a. edición","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X23KUCMX","book","2018","González, Déborah; Bermúdez, Sabel Helena","Humanidades Digitales, Miradas hacia la Edad Media","","978-3-11-058541-4","","","https://www.degruyter.com/viewbooktoc/product/499554?fbclid=IwAR3gtJIDBrwynIDBb5XvkZ3Jyux-JESs2D_2SHqLHBHzEOkjy1M0vK_R0RA","","2018","2024-08-13 19:23:19","2024-08-13 19:23:19","2020-01-13 16:54:58","","","","","","","","","","","","De Gruyter","Berlin, Boston","SPAN","","","","","DeGruyter","","DOI: 10.1515/9783110585421 Citation Key: Gonzalez.Bermudez2018Humanidades","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3GUKEBIE","book","1997","Irizarry, Estelle","Informática y literatura: análisis de textos hispánicos","","978-84-922335-6-4","","","","","1997","2024-08-13 19:23:15","2024-08-13 19:23:15","","","210","","","","","Informática y literatura","","","","","Anthropos Editorial","","es","","","","","Google Books","","00006 Citation Key: Irizarry1997Informatica","","; ","https://books.google.com.mx/books?id=owiwrnWVpTEC; https://books.google.com.mx/books?id=owiwrnWVpTEC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ER5UAMG","book","2014","Marqués, María Pérez","Minería de Datos a través de ejemplos","","978-84-941801-4-9","","","","Rare book","2014-03-11","2024-08-13 19:23:13","2024-08-13 19:23:13","","","","","","","","","","","","","RC Libros","Madrid","Spanish","","","","","Amazon","","00036 Citation Key: Marques2014Mineria","","","https://www.amazon.com/Miner%C3%ADa-Datos-trav%C3%A9s-ejemplos-Marqu%C3%A9s/dp/8494180142/ref=sr_1_4?keywords=miner%C3%ADa+de+datos&qid=1576200036&s=books&sr=1-4","","","","","","","","","","","","","","","","","","","","","","1ªed., 1ª imp edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TZ3KDE4K","book","2019","Adrián Caballero Roldán, Rafael Caballero / Martín Martín","Bid data con Python. Recolección, almacenamiento y proceso","","978-84-948972-0-7","","","","rare book","2019","2024-08-13 19:23:10","2024-08-13 19:23:10","","","","","","","","","","","","","RC Libros","","Spanish","","","","","Amazon","","00000 Citation Key: AdrianCaballeroRoldan2019Bid","","","https://www.amazon.com/DATA-PYTHON-RECOLECCION-ALMACENAMIENTO-PROCESO/dp/8494897209/ref=sr_1_1?keywords=big+data+con+python&qid=1576199794&s=books&sr=1-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E7RCP2EC","blogPost","2014","Fiormonte, Domenico","Humanidades Digitales y diversidad cultural","Infolet","","","","http://infolet.it/2014/02/01/humanidades-digitales-y-diversidad-cultural/","","2014-02-01","2024-08-13 19:59:58","2024-08-13 19:59:58","2014-02-03 20:11:29","","","","","","","","","","","","","","","","","","","","","00000 Citation Key: Fiormonte2014Humanidades","","; ","http://infolet.it/2014/02/01/humanidades-digitales-y-diversidad-cultural/; http://infolet.it/2014/02/01/humanidades-digitales-y-diversidad-cultural/","humanidades digitales; Diversidad; Jean-Claude Gardin; Manfred Thaller; María José Vega; Padre Busa; Tito Orlandi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IXUF6CK7","blogPost","","","Blog de Humanidades Digitales","","","","","http://humanidadesdigitales.net/blog/","Blog especializado en temas de Humanidades Digitales, con base en la Ciudad de México, generado por la UNAM","","2024-08-13 19:59:56","2024-08-13 19:59:56","2014-05-05 14:33:21","","","","","","","","","","","","","","","","","","","","","00000 Citation Key: Blog","","; ","http://humanidadesdigitales.net/blog/; http://humanidadesdigitales.net/blog/","","humanidades digitales; antropología; digitales; filosofía; historia; humanidades; letras; mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SSVP8RG3","blogPost","2013","Álvaro, Sandra","Big Data y humanidades digitales: de la computación social a los retos de la cultura conectada | CCCB LAB","CCCBLAB","","","","http://blogs.cccb.org/lab/es/article_big-data-i-humanitats-digitals-de-la-computacio-social-als-reptes-de-la-cultura-connectada/","El Big Data es el nuevo medio de este segundo decenio de siglo. Un nuevo conjunto de tecnologías computacionales que, al igual que las anteriores, ha cambiado el modo en que accedemos a la realidad. En un momento en que la web social es el nuevo laboratorio de la producción cultural, las humanidades digitales se vuelcan hacia el análisis de la producción y distribución masiva de productos culturales, para comprometerse en el diseño y cuestionamiento de los medios que la han hecho posible. De este modo, adoptan un enfoque más centrado en ver cómo se produce y distribuye la cultura, que las coloca ante los retos de una nueva cultura conectada.","2013-10-23","2024-08-13 19:59:51","2024-08-13 19:59:51","2014-03-24 15:49:18","","","","","","","Big Data y humanidades digitales","","","","","","","","","","","","","","00002 Citation Key: Alvaro2013Biga","","; ","http://blogs.cccb.org/lab/es/article_big-data-i-humanitats-digitals-de-la-computacio-social-als-reptes-de-la-cultura-connectada/; http://blogs.cccb.org/lab/es/article_big-data-i-humanitats-digitals-de-la-computacio-social-als-reptes-de-la-cultura-connectada/","computación; Redes sociales","big data; cultura xarxa; dades; data; datos; humanitats digitals; internet archive; xarxa distribuïda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3VHF4CP3","conferencePaper","2018","Fiormonte, Domenico","¿Por qué las Humanidades Digitales necesitan al Sur?","Humanidades Digitales. Construcciones locales en contexto. Actas del I Congreso Internacional de la Asociación Argentina de Humanidades Digitales - AAHD","978-987-40-1997-4","","","https://dialnet.unirioja.es/servlet/articulo?codigo=6581926","Tras la fuerte expansión de Humanidades Digitales en todo el mundo, el tema de la diversidad lingüística y cultural se ha convertido en un tema central del debate internacional. Una reflexión crítica sobre la diversidad de perspectivas implica una comparación entre las fuerzas en el campo, o el intento de rastrear una genealogía, en las respectivas esferas lingüístico-culturales, de las tendencias de investigación, las formas institucionales y los intereses geopolíticos específicos que se han desarrollado gradualmente. Hablar de márgenes siempre es complejo, primero porque no hay márgenes fijos, segundo porque el margen presupone la legitimación de un cierto discurso dominante, hoy incorporado en el paradigma de lo digital de habla inglesa. La situación actual de las Digital Humanities y las Humanidades Digitales parece sugerir que enfrentamos un posible cortocircuito entre las ambiciones de aquellos que buscan la legitimidad como periferia y aquellos que quieren continuar legitimándose como centro, consolidando así su hegemonía. Es un esquema bien conocido en estudios postcoloniales, donde se habla precisamente de reabsorción de la subjetividad subalterna o propiedad de lo emergente por parte de lo dominante","2018","2024-08-13 20:00:19","2024-08-13 20:00:19","2020-10-15 02:39:29","(15-36)","","","1","","","","","","","","Universidad de Buenos Aires. Editorial de la Facultad de Filosofía y Letras","Buenos Aires","Español","","","","","dialnet.unirioja.es","","Section: Humanidades Digitales : Construcciones locales en contextos globales: Actas  del I Congreso Internacional de la Asociación Argentina de Humanidades  Digitales - AAHD Citation Key: Fiormonte2018Pora","","","","#nosource","","","","Del Río Riande, María Gimena","","","","","","","","","","","","","","","","","","","","","","","","","","","","I Congreso Internacional de la Asociación Argentina de Humanidades Digitales - AAHD","","","","","","","","","","","","","","",""
"FURC3AMT","conferencePaper","2019","Rio Riande, Gimena del","Humanidades Digitales y archivos: prácticas convergentes","","","","","https://jornadasarchivos.cedinci.org/wp-content/uploads/2019/11/del-Rio_HD-y-archivos_practicas-convergentes.pdf","","2019-04-15","2024-08-13 20:00:30","2024-08-13 20:00:30","2021-01-17 23:58:35","","","","","","","","","","","","Centro de Documentación e Investigación de la Cultura de Izquierdas (CeDInCI/ UNSAM), el Archivo Instituto de Investigación en Arte y Cultura Dr. Norberto Griffa (IIAC-UNTREF) y el Archivo General de la Universidad de la República (UDELAR)","Buenos Aires, Argentina","","","","","","","","Citation Key: rioriandeHumanidadesDigitalesArchivos2019","","","","#nosource; #duplicate-citation-key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Archivos personales en transición: de lo privado a lo público, de lo analógico a lo digital","","","","","","","","","","","","","","",""
"EAPMH3UI","conferencePaper","2019","Wagner, Sarah E.; Marshall, Ann","Talking About Research : Applying Textual Analysis Software To Student Interviews","","","","","","Introduction Teaching librarians’ expertise can distance them from the students they seek to instruct. What is readily apparent to a librarian can be mystifying and unclear to a novice researcher and can lay the groundwork for miscommunication and incomprehension. In an effort to better understand the research process from a student perspective, the authors conducted a study based upon one-on-one interviews that asked students to describe their experiences with research. Using data from these interviews, this paper aims to answer two research questions: (1) What does the term “research” mean to students and to what extent do students talk about doing research using terminology other than research? (2) How do students form narratives in order to make sense of the research process as part of their own learning? In order to tackle these questions, the authors have used Voyant Tools to perform a textual analysis of student word usage in the interviews and have also applied narrative inquiry as a lens for analysis to better understand how students speak about research.","2019","2024-08-13 20:00:27","2024-08-13 20:00:27","","","","","","","","Talking About Research","","","","","","","","","","","","Semantic Scholar","","Citation Key: Wagner.Marshall2019Talking","","","https://www.semanticscholar.org/paper/Talking-About-Research-%3A-Applying-Textual-Analysis-Wagner-Marshall/cff91db0bb0a238ace3122f87f253080627f0245","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7TVZWQ46","journalArticle","2013","Hooland, Seth van; Verborgh, Ruben; Wilde, Max De","Limpieza de datos con OpenRefine","Programming Historian","","","","https://programminghistorian.org/es/lecciones/limpieza-de-datos-con-OpenRefine","","2013-08-05","2024-08-13 20:00:43","2024-08-13 20:00:43","2019-08-07 22:08:46","","","","","","","","","","","","","","es","","","","","programminghistorian.org","","00000 Citation Key: Hooland.etal2013Limpieza","","","","#nosource","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8KWZANAK","journalArticle","2015","Noiret, Serge","História Pública Digital │ Digital Public History","Liinc em Revista","","1808-3536","10/gf78wm","http://revista.ibict.br/liinc/index.php/liinc/article/view/797","","2015-05-28","2024-08-13 20:00:40","2024-08-13 20:00:40","2018-04-20 01:03:32","","","1","11","","","","","","","","","","pt","","","","","Crossref","","00054  Number: 1 Citation Key: Noiret2015Historia","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9GH59RKR","journalArticle","2002","Lee, John K.","Digital History in the History/Social Studies Classroom","The History Teacher","","00182745","10/bwc3pd","https://www.jstor.org/stable/1512472?origin=crossref","","2002-08","2024-08-13 20:00:37","2024-08-13 20:00:37","2018-04-20 01:03:35","503","","4","35","","","","","","","","","","en","","","","","Crossref","","00167  Number: 4 Citation Key: Lee2002Digital","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28NXCPP7","thesis","2019","Rodríguez-Roche, Sulema","Humanidades Digitales para las Ciencias de la Información en Cuba: Propuesta de transversalización","","","","","https://www.academia.edu/43010898/Humanidades_Digitales_para_las_Ciencias_de_la_Informaci%C3%B3n_en_Cuba_Propuesta_de_transversalizaci%C3%B3n","La tesis doctoral tiene el objetivo elaborar una propuesta de transversalización de las Humanidades Digitales en el campo académico de las Ciencias de la Información en Cuba. Sistematiza a través de un examen bibliográfico el escenario fundacional,","2019-10","2024-08-13 20:00:58","2024-08-13 20:00:58","2020-10-15 02:49:03","","","","","","","Humanidades Digitales para las Ciencias de la Información en Cuba","","","","","Universidad de La Habana","La Habana","es","","Tesis Doctoral","","","","","Citation Key: rodriguez-rocheHumanidadesDigitalesPara2019","","","","#nosource; #duplicate-citation-key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K8NPC89Q","podcast","","","Congreso Internacional «Humanidades digitales: visibilidad y difusión de la investigación»","","","","","http://www.unav.es/98.3/doc/13/05/130522noticiasdelcampus.mp3","","","2024-08-13 20:00:54","2024-08-13 20:00:54","","","","","","","","","","","","","","","Español","","","","","","","ZSCC: 0000000[s0] Citation Key: BaraibarCongresoa","","","","#nosource; Congresos; Humanidade; Visibilidad","","","","","","","","","","","","","","","","","","","Baraibar, Alvaro","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BXTBVK6I","videoRecording","2012","Suárez, Juan Luis","Humanidades Digitales. (Humanidades Digitales y Complejidad Cultural. Investigación, concepto y prácticas)","","","","","http://medialab-prado.es/mmedia/8563/view","","2012-02-21","2024-08-13 20:01:04","2024-08-13 20:01:04","","","","","","","","","","","","","","MediaLab Prado","Español","","","","","","","00000 Citation Key: Suarez2012Humanidades","","","","#nosource; humanidades digitales; Alfabetismo digital; CulturePlex","","","","","","","","","","","","","","","","","","","","","","69'21""","","FLV","","","","","","","","","","","","","","","","","","","","","","",""
